SpinachLambda,SpinachAbs
Wavelength (nm),Abs
799.9874268,0.029422864
799.0166626,0.028822483
798.0108032,0.029249549
797.0046387,0.029009825
795.9979248,0.029047851
794.9909668,0.029071156
793.9835205,0.028807823
793.010376,0.028561376
792.0021973,0.028165588
790.9936523,0.028885724
789.9845581,0.028470073
789.0099487,0.028101541
788.0001831,0.027906753
786.9900513,0.027936731
786.0142822,0.028059538
785.0032349,0.027666084
783.9918823,0.027765995
783.0149536,0.027418962
782.0028687,0.027511533
780.9902954,0.027769638
780.0122681,0.02786717
778.9989624,0.027227785
777.9852295,0.027478633
777.0060425,0.028157303
775.9915771,0.027749272
775.0116577,0.027608015
773.9963989,0.028208043
773.0157471,0.028012432
771.9997559,0.028401062
770.9832764,0.027880087
770.0014648,0.028071247
768.9842529,0.028113168
768.00177,0.027884891
766.9838257,0.028250916
766.0006104,0.027963426
765.0169678,0.027814731
763.9978638,0.027965801
763.0135498,0.027911307
761.9937134,0.028033087
761.008667,0.027403163
759.9879761,0.027954068
759.0021973,0.028008292
758.0160522,0.02742351
756.9943237,0.02784255
756.0073853,0.027325278
754.9849243,0.027900018
753.9972534,0.027419209
753.0093384,0.027650056
751.9857178,0.027292971
750.9970703,0.027877411
750.0079956,0.027390644
748.9832764,0.027433382
747.9935303,0.027370436
747.0033569,0.027753301
746.0129395,0.027426185
744.9866943,0.02725317
743.9954834,0.027329082
743.0039673,0.027320867
742.012085,0.027458971
740.984375,0.02751749
739.9918213,0.02749984
738.9988403,0.027235309
738.0056152,0.027392823
737.0119629,0.027434429
735.9824219,0.027765719
734.9880981,0.027508583
733.9933472,0.027466059
732.998291,0.027282551
732.0029907,0.027711995
731.0072021,0.027727032
730.0111084,0.02771743
729.0146484,0.027687164
727.9822998,0.027518539
726.9851685,0.027724743
725.9876709,0.027614029
724.9898682,0.027742015
723.9916992,0.027805844
722.9932251,0.027665367
721.9943848,0.02754518
720.9952393,0.027694227
719.9956665,0.027620014
718.9957886,0.027744278
717.9956055,0.027542891
716.9951172,0.027689122
715.9942017,0.02781117
714.992981,0.027798779
713.9914551,0.027720548
712.989502,0.027800489
711.9873047,0.027755702
710.9847412,0.027799828
710.0176392,0.027887154
709.0144043,0.027798366
708.0108643,0.027883483
707.006958,0.028007546
706.0028076,0.027933694
704.9981689,0.027777309
703.9932861,0.027917711
702.9880981,0.028015276
701.9825439,0.028200336
701.0125732,0.028175808
700.0064087,0.028494755
698.9998169,0.028589023
697.9929199,0.028347563
696.9857178,0.028965743
696.0142212,0.028775821
695.0063477,0.028842788
693.99823,0.029129393
692.9896851,0.029273281
692.0169067,0.029355004
691.0077515,0.030092625
689.998291,0.03015619
688.9884644,0.030849537
688.0145264,0.031152599
687.0040283,0.03216663
685.9932861,0.032883164
684.9822388,0.033640679
684.006958,0.034419972
682.9952393,0.035982713
681.9832153,0.037715815
681.007019,0.039546639
679.9943237,0.041977879
679.0175171,0.044677272
678.0042114,0.047824547
676.9906006,0.050964724
676.0128784,0.054297376
674.9986572,0.058788486
673.9840698,0.063486427
673.0054321,0.067518398
671.9902954,0.072640978
671.0109863,0.077211604
669.9951782,0.082766071
669.0153809,0.087344289
667.9989014,0.092057198
666.9821167,0.096616142
666.0014648,0.100644469
664.9840698,0.104593158
664.0026855,0.107649416
662.9848022,0.110331118
662.0028076,0.111587763
660.9842529,0.111076847
660.0016479,0.110613614
658.9825439,0.108497575
657.9994507,0.104604915
657.0159912,0.100251176
655.9959106,0.094318382
655.0119629,0.088116094
653.9912109,0.082452916
653.0066528,0.077117234
651.9852905,0.071937896
651.0001831,0.067151472
650.0147095,0.063158602
648.9924927,0.059934836
648.0064697,0.057452288
646.9835815,0.054962195
645.9970093,0.052750714
645.0101318,0.051398288
643.9863892,0.05024432
642.9989624,0.048902765
642.0112305,0.047872119
640.9865723,0.04664728
639.998291,0.046143979
639.0097046,0.044765878
637.9841919,0.044207718
636.9950562,0.04358948
636.0055542,0.042792372
635.0158691,0.042314488
633.9891968,0.041627966
632.9989014,0.041601725
632.0083618,0.041283883
631.0175171,0.041186366
629.9896851,0.041123956
628.998291,0.041149028
628.0065308,0.041295614
627.0146484,0.041702956
625.9856567,0.042087924
624.993042,0.04247437
624.0003052,0.042498607
623.0072632,0.04295386
622.013916,0.043336131
620.9835205,0.043799851
619.989563,0.044151805
618.9954834,0.044572018
618.0009155,0.044831943
617.0062256,0.044894461
616.0112915,0.045248251
615.0160522,0.04529985
613.9836426,0.045303985
612.987854,0.045168422
611.9917603,0.044975761
610.9954224,0.044800028
609.9987793,0.044842735
609.0018921,0.044654809
608.0047607,0.044667233
607.0073853,0.043881979
606.0097046,0.043455992
605.0117188,0.04310257
604.0134888,0.042672753
603.0150757,0.042225469
602.0162964,0.041615602
601.0172729,0.041161265
600.0180054,0.04044218
599.0184937,0.039805245
597.9816895,0.039283056
596.9816284,0.039332535
596.0183105,0.038677499
595.0177002,0.038341179
594.0169067,0.038119499
593.0158081,0.037812386
592.0144043,0.037920307
591.0128174,0.037720416
590.0109253,0.037564531
589.0088501,0.037492901
588.0063477,0.037400492
587.0037231,0.037673917
586.0007935,0.037855059
584.9976807,0.038024101
583.9942017,0.037977993
582.9905396,0.038251355
581.9866333,0.03819228
580.9824219,0.038656559
580.0151367,0.03877021
579.010437,0.038823254
578.0054932,0.038976535
577.0003052,0.038927294
575.994812,0.038908977
574.9891357,0.038954929
573.9831543,0.038749833
573.0142212,0.038741257
572.0078125,0.038857024
571.0010376,0.038623285
569.9941406,0.038776606
568.9868774,0.038598869
568.0167847,0.038311124
567.0089722,0.038336739
566.0010986,0.038250171
564.9928589,0.038340103
563.984436,0.037996076
563.0131226,0.037786152
562.0041504,0.037734166
560.9949951,0.037395697
559.9855957,0.037308779
559.0133057,0.037298173
558.003418,0.037161838
556.9932251,0.037257921
555.9828491,0.03711503
555.0095825,0.036849707
553.9987793,0.03688651
552.9876099,0.036896825
552.0137329,0.036939889
551.0021362,0.036936142
549.9903564,0.036895726
549.0157471,0.036835734
548.003418,0.037035473
546.9908447,0.03719737
546.015625,0.037429977
545.0025635,0.03745842
543.9893188,0.037610482
543.0133667,0.037813883
541.9995728,0.038283471
540.9856567,0.038872313
540.0089722,0.039161623
538.9946289,0.039482307
538.0175781,0.03987436
537.0026245,0.040530663
535.9874878,0.040868856
535.0097656,0.041117836
533.9941406,0.041596398
533.0159302,0.04194694
531.999939,0.041797627
530.9835815,0.041606855
530.0047607,0.041159499
528.9879761,0.041532107
528.008728,0.041556347
526.9915161,0.041332167
526.0117798,0.041384954
524.9941406,0.041382506
524.013916,0.041429918
522.9957886,0.041501373
522.0151978,0.041547544
520.9966431,0.041822653
520.015625,0.041896053
518.996582,0.042212803
518.0151367,0.042601045
516.9956665,0.043082703
516.0137329,0.043461315
514.9938354,0.043997347
514.0115356,0.044506598
512.9912109,0.045300078
